"record_id","scientific_name","common_name","vitality","osgr_1km","latitude","longitude","country","start_date_year"
"1f0b24eb-fe90-4361-bb02-7f57ce31fdbc","Lutra lutra","Eurasian Otter","dead","SN7506",51.75,-3.81,"United Kingdom",2015
"1ef918ae-bc18-46ae-bbf0-f80c9573b42c","Lutra lutra","Eurasian Otter","dead","SU1406",50.86,-1.79,"United Kingdom",2014
"19af1d10-d0f7-4aac-91cc-ff9d628100c5","Lutra lutra","Eurasian Otter","dead","SO3624",51.91,-2.93,"United Kingdom",2017
"17194e37-819b-4e66-a101-33aa88f5911f","Lutra lutra","Eurasian Otter","dead","NU2311",55.4,-1.63,"United Kingdom",2017
"0f7ac7b6-62ad-493b-8a19-9b03a8d10615","Lutra lutra","Eurasian Otter","dead","NY5421",54.58,-2.7,"United Kingdom",2015
"0ec7e959-e8bd-4901-8bb9-71b7fdc9e5ee","Lutra lutra","Eurasian Otter","dead","SE6131",53.77,-1.07,"United Kingdom",2015
"0e861fc1-185f-4223-bbd1-196e84e2f991","Lutra lutra","Eurasian Otter","dead","SE5948",53.93,-1.09,"United Kingdom",2018
"0e82294c-5b76-472d-bec7-3f1aafe413a2","Lutra lutra","Eurasian Otter","dead","NT0966",55.89,-3.45,"United Kingdom",2019
"0c5edb4d-fa75-4cd9-845e-306a60b4215a","Lutra lutra","Eurasian Otter","dead","TM3055",52.15,1.37,"United Kingdom",2014
"0c15703c-4960-4fee-812f-29fb1d3e5a4f","Lutra lutra","Eurasian Otter","dead","SO3084",52.45,-3.03,"United Kingdom",2014
"0714562d-e98a-4124-afe3-2d0778699214","Lutra lutra","Eurasian Otter","dead","SJ0032",52.88,-3.48,"United Kingdom",2017
"04ff063f-e874-4ff8-b118-a5f943143b0f","Lutra lutra","Eurasian Otter","dead","SD6299",54.39,-2.59,"United Kingdom",2015
"043b5e8b-fdd7-4b82-a993-b3e6350d917d","Lutra lutra","Eurasian Otter","dead","ST3189",51.6,-3,"United Kingdom",2017
"f65e3372-03ea-43aa-8dd4-4c27e9058823","Lutra lutra","Eurasian Otter","dead","NX9973",55.04,-3.58,"United Kingdom",2017
"f5299484-8d98-453b-b5d7-0e0d534fd9e4","Lutra lutra","Eurasian Otter","dead","SJ3411",52.7,-2.97,"United Kingdom",2017
"f3ad95d3-1e4c-4324-8120-8eec06b3babc","Lutra lutra","Eurasian Otter","dead","TF2308",52.66,-0.18,"United Kingdom",2020
"f1f2176b-e7a1-444e-a396-1f3652b9ae72","Lutra lutra","Eurasian Otter","dead","ST9226",51.04,-2.12,"United Kingdom",2015
"edae4a5a-7242-4229-9298-2a640811f753","Lutra lutra","Eurasian Otter","dead","NS5085",56.04,-4.39,"United Kingdom",2021
"ed376f5b-a7b1-467d-823a-55028aad1622","Lutra lutra","Eurasian Otter","dead","ST8414",50.93,-2.22,"United Kingdom",2017
"eccfbc48-824b-453a-aa0a-9c17f6143e1d","Lutra lutra","Eurasian Otter","dead","TF9045",52.97,0.84,"United Kingdom",2015
"ec5de841-d576-4079-ada9-cf7b6cdac3ca","Lutra lutra","Eurasian Otter","dead","ST3040",51.16,-2.99,"United Kingdom",2015
"eadc1cf1-7d9a-46b2-842d-67061d18a7ce","Lutra lutra","Eurasian Otter","dead","TM0459",52.2,0.99,"United Kingdom",2020
"e9470fd4-aba2-4950-8abc-c34009e668a7","Lutra lutra","Eurasian Otter","dead","ST4937",51.13,-2.72,"United Kingdom",2015
"e63a414b-1216-41b6-a7f3-b7a48b188da7","Lutra lutra","Eurasian Otter","dead","TL3455",52.18,-0.03,"United Kingdom",2016
"e3ae2bca-57c0-41d3-8c3f-045f7707c504","Lutra lutra","Eurasian Otter","dead","NZ1531",54.67,-1.75,"United Kingdom",2017
"e2a063f5-58e5-48b0-9fb5-0a9fa941c83a","Lutra lutra","Eurasian Otter","dead","TL5522",51.87,0.26,"United Kingdom",2015
"da7b4fec-e4c8-46c4-bac0-8496b9bd446d","Lutra lutra","Eurasian Otter","dead","SJ7584",53.36,-2.37,"United Kingdom",2016
"d545408e-38c3-46c1-9a65-6e3d39c8d8b0","Lutra lutra","Eurasian Otter","dead","SP7645",52.1,-0.89,"United Kingdom",2022
"d33b5364-5045-4b7a-b4af-e1eeaa50e3b1","Lutra lutra","Eurasian Otter","dead","TL7910",51.76,0.6,"United Kingdom",2018
"d24d0346-9b72-4528-83a9-c7ffa7ca2d44","Lutra lutra","Eurasian Otter","dead","SE7367",54.1,-0.88,"United Kingdom",2015
"cd729b8a-764d-444e-b173-c3a6e70d5cf0","Lutra lutra","Eurasian Otter","dead","SU1541",51.18,-1.78,"United Kingdom",2015
"cc4336a1-8a95-4245-9df5-5cb070d1fc6b","Lutra lutra","Eurasian Otter","dead","TA1275",54.16,-0.28,"United Kingdom",2022
"c77a4633-eb9e-4802-8e8a-81f201a1a441","Lutra lutra","Eurasian Otter","dead","NY0899",55.28,-3.44,"United Kingdom",2021
"c350b564-6b9e-4cd4-9d2f-1a9c4ded6363","Lutra lutra","Eurasian Otter","dead","SD5069",54.12,-2.76,"United Kingdom",2017
"c29c52b1-dc62-4270-b744-93aa10eee55c","Lutra lutra","Eurasian Otter","dead","SD5142",53.88,-2.74,"United Kingdom",2017
"ba91b02a-aea8-4e14-a145-265dcbb4f4aa","Lutra lutra","Eurasian Otter","dead","NO1205",56.23,-3.41,"United Kingdom",2016
"b6866687-41da-4170-8825-0db5624d7a7a","Lutra lutra","Eurasian Otter","dead","SO0007",51.75,-3.45,"United Kingdom",2018
"b4be75b2-2386-4c4d-8b8f-11f0c245a8af","Lutra lutra","Eurasian Otter","dead","NY1282",55.13,-3.37,"United Kingdom",2021
"b02f0996-1443-4049-82b7-1241de11e124","Lutra lutra","Eurasian Otter","dead","SD5173",54.15,-2.74,"United Kingdom",2017
"ae1faf0e-0876-4304-b23b-3ee6976c728b","Lutra lutra","Eurasian Otter","dead","NM6143",56.52,-5.89,"United Kingdom",2016
"adbc4b5e-c93b-4d84-9ea6-7cc9890365df","Lutra lutra","Eurasian Otter","dead","SD5142",53.88,-2.75,"United Kingdom",2017
"ad4e6bce-c34d-42d8-b483-aa0a6dc9c315","Lutra lutra","Eurasian Otter","dead","TM3660",52.19,1.46,"United Kingdom",2014
"ab0ff8a3-1784-4039-a8dc-b1fa62a17e9c","Lutra lutra","Eurasian Otter","dead","TG5111",52.64,1.72,"United Kingdom",2020
