"NBN Atlas record ID","Occurrence ID","Licence","Rightsholder","Scientific name","Taxon author","Name qualifier","Common name","Species ID (TVK)","Taxon Rank","Occurrence status","Start date","Start date day","Start date month","Start date year","End date","End date day","End date month","End date year","Locality","OSGR","Latitude (WGS84)","Longitude (WGS84)","Coordinate uncertainty (m)","Verbatim depth","Recorder","Determiner","Individual count","Abundance","Abundance scale","Organism scope","Organism remarks","Sex","Life stage","Occurrence remarks","Identification verification status","Basis of record","Survey key","Dataset name","Dataset ID","Data provider","Data provider ID","Institution code","Kingdom","Phylum","Class","Order","Family","Genus","OSGR 100km","OSGR 10km","OSGR 2km","OSGR 1km","Country","State/Province","Vitality"
"d25349eb-0d03-45fe-a6e5-6661972d15cf","38531","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2015-04-09","09","04","2015","","","","","","SX5857","50.4","-4.0","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","SX","SX55","SX55Y","SX5857","United Kingdom","England","dead"
"d1ca8704-9a66-4916-8aa0-49b3ce7fc522","38764","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2016-04-20","20","04","2016","","","","","","SO7942","52.08","-2.31","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","SO","SO74","SO74W","SO7942","United Kingdom","England","dead"
"cdcd13dd-8287-4da4-8b4d-34d5d4be5fa8","38760","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2016-04-12","12","04","2016","","","","","","SY8093","50.74","-2.28","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","SY","SY89","SY89B","SY8093","United Kingdom","England","dead"
"cc1eddff-7efe-4263-ab60-b65528184c76","87952","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2015-04-15","15","04","2015","","","","","","NS4373","55.93","-4.5","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","NS","NS47","NS47G","NS4373","United Kingdom","Scotland","dead"
"cb3c5141-374f-4595-b46b-6c85f0873c90","38761","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2016-04-13","13","04","2016","","","","","","TL9496","52.53","0.87","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","TL","TL99","TL99N","TL9496","United Kingdom","England","dead"
"cb3721e6-6354-4102-bbc6-006eb3b5249a","59913","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2019-04-18","18","04","2019","","","","","","SO0930","51.96","-3.32","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","SO","SO03","SO03V","SO0930","United Kingdom","Wales","dead"
"ca5e0e16-93b2-42ff-ae5f-b7be311f518a","37712","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2017-04-06","06","04","2017","","","","","","NY5715","54.53","-2.66","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","NY","NY51","NY51S","NY5715","United Kingdom","England","dead"
"c9d7815e-095d-47c3-ba30-9db3dfd34da3","38333","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2014-04-04","04","04","2014","","","","","","SO7167","52.3","-2.42","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","SO","SO76","SO76D","SO7167","United Kingdom","England","dead"
"c89ce705-3733-4c9c-96a4-fdf555462442","90548","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2022-04-14","14","04","2022","","","","","","NO0539","56.54","-3.53","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","NO","NO03","NO03P","NO0539","United Kingdom","Scotland","dead"
"c8704881-c341-4501-beec-fa890c4619ac","38987","CC-BY-NC","The Road Lab","Lutra lutra","(Linnaeus, 1758)","","Eurasian Otter","NBNSYS0000005133","species","present","2017-04-02","02","04","2017","","","","","","ST3141","51.16","-2.98","707.1","","The Road Lab","","","","","","","","","Found dead","Accepted - considered correct","HumanObservation","","UK Roadkill Records","dr1628","The Road Lab UK","dp205","","Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lutra","ST","ST34","ST34A","ST3141","United Kingdom","England","dead"
